gene,contrast,delta_spatial,delta_clone13,delta_diff,abs_diff,rank_abs
Il7r,Muscularis - Top IE,-0.714605341036661,-0.3443953427545511,0.3702099982821099,0.3702099982821099,6.0
Slamf6,Muscularis - Top IE,0.4032602645603971,0.758567658813726,0.3553073942533289,0.3553073942533289,7.0
Gzmb,Muscularis - Top IE,-0.3185453418449313,-0.0593625509905234,0.2591827908544079,0.2591827908544079,8.0
Tcf7,Muscularis - Top IE,0.3365871300552894,0.5745515458673482,0.23796441581205885,0.23796441581205885,9.0
Ifng,Muscularis - Top IE,-0.1602123812809128,0.0093745342844204,0.1695869155653332,0.1695869155653332,10.0
Ifngr2,Muscularis - Top IE,-0.702546558276643,-0.8592941491188143,-0.15674759084217127,0.15674759084217127,11.0
Il18r1,Muscularis - Top IE,0.5738963453823585,0.4263656489911528,-0.14753069639120564,0.14753069639120564,12.0
Cd69,Muscularis - Top IE,0.3663656812625642,0.4538987412500914,0.0875330599875272,0.0875330599875272,13.0
Gzma,Muscularis - Top IE,-0.8690170538762979,-0.7885821390120571,0.08043491486424081,0.08043491486424081,14.0
Itgae,Muscularis - Top IE,-0.950726358463646,-0.9059204558870492,0.04480590257659678,0.04480590257659678,15.0
Runx3,Muscularis - Top LP,0.3032710547119959,-0.5677423052602746,-0.8710133599722705,0.8710133599722705,1.0
Srebf2,Muscularis - Top LP,0.0716011598945542,-0.714359841263794,-0.7859610011583482,0.7859610011583482,2.0
Pdcd1,Muscularis - Top LP,0.0226294291759664,0.7066129343764185,0.683983505200452,0.683983505200452,3.0
Ccr7,Muscularis - Top LP,0.0264811821545136,0.7017543859649122,0.6752732038103987,0.6752732038103987,4.0
Gzmb,Muscularis - Top LP,-0.2463762980240464,0.2282481259961869,0.4746244240202333,0.4746244240202333,5.0
Cd69,Muscularis - Top LP,0.0412327840880157,0.4198597754918675,0.3786269914038518,0.3786269914038518,6.0
Slamf6,Muscularis - Top LP,0.3707380247278248,0.7120966734577867,0.3413586487299619,0.3413586487299619,7.0
Il2rb,Muscularis - Top LP,0.3174859070480038,0.0317389249420576,-0.2857469821059462,0.2857469821059462,8.0
Gzma,Muscularis - Top LP,-0.6831340638258963,-0.4339607756583775,0.24917328816751877,0.24917328816751877,9.0
Itgae,Muscularis - Top LP,-0.7554094314059534,-0.5675561814490011,0.1878532499569523,0.1878532499569523,10.0
Il18r1,Muscularis - Top LP,0.3518786992265638,0.1785230747413819,-0.17335562448518188,0.17335562448518188,11.0
Tcf7,Muscularis - Top LP,0.1851213640399134,0.0302950955114299,-0.1548262685284835,0.1548262685284835,12.0
Ifng,Muscularis - Top LP,0.077865228238961,-0.0440040103849682,-0.1218692386239292,0.1218692386239292,13.0
Ifngr2,Muscularis - Top LP,-0.1500027634530004,-0.2296894321147792,-0.07968666866177881,0.07968666866177881,14.0
Il7r,Muscularis - Top LP,-0.4697616955211326,-0.44411315227278,0.02564854324835264,0.02564854324835264,15.0
Tcf7,Top IE - Top LP,-0.1514657660153759,-0.5442564503559183,-0.39279068434054243,0.39279068434054243,1.0
Pdcd1,Top IE - Top LP,0.4349419313237223,0.0428820503592773,-0.392059880964445,0.392059880964445,2.0
Il7r,Top IE - Top LP,0.2448436455155282,-0.0997178095182288,-0.344561455033757,0.344561455033757,3.0
Ifng,Top IE - Top LP,0.2380776095198739,-0.0533785446693886,-0.2914561541892625,0.2914561541892625,4.0
Cd69,Top IE - Top LP,-0.3251328971745484,-0.0340389657582239,0.2910939314163245,0.2910939314163245,5.0
Runx3,Top IE - Top LP,-0.1481547685851823,0.0845553375758602,0.2327101061610425,0.2327101061610425,6.0
Gzmb,Top IE - Top LP,0.0721690438208848,0.2876106769867104,0.2154416331658256,0.2154416331658256,7.0
Il2rb,Top IE - Top LP,-0.0850806359759214,0.1303493857716454,0.2154300217475668,0.2154300217475668,8.0
Gzma,Top IE - Top LP,0.1858829900504016,0.3546213633536795,0.1687383733032779,0.1687383733032779,9.0
Itgae,Top IE - Top LP,0.1953169270576925,0.338364274438048,0.14304734738035552,0.14304734738035552,10.0
Ccr7,Top IE - Top LP,0.2247943407061911,0.1187950905170863,-0.10599925018910479,0.10599925018910479,11.0
Ifngr2,Top IE - Top LP,0.5525437948236427,0.6296047170040351,0.0770609221803924,0.0770609221803924,12.0
Srebf2,Top IE - Top LP,0.150090528883689,0.1010490105744763,-0.04904151830921272,0.04904151830921272,13.0
Il18r1,Top IE - Top LP,-0.2220176461557946,-0.2478425742497709,-0.025824928093976296,0.025824928093976296,14.0
Slamf6,Top IE - Top LP,-0.0325222398325723,-0.0464709853559392,-0.013948745523366904,0.013948745523366904,15.0
